name,diet,period,start_mya,extinction_mya,lived_in,ISO3,type,length_m,taxonomy,named_by,species,link
cryolophosaurus,carnivorous,Early Jurassic,170,,Antarctica,ATA,large theropod,8.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Hammer and Hickerson (1994),elliotti,https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html
noasaurus,carnivorous,Late Cretaceous,84,65,Argentina,ARG,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Bonaparte and Powell (1980),leali,https://www.nhm.ac.uk/discover/dino-directory/noasaurus.html
secernosaurus,herbivorous,Late Cretaceous,71,65,Argentina,ARG,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),koerneri,https://www.nhm.ac.uk/discover/dino-directory/secernosaurus.html
neuquenosaurus,herbivorous,Late Cretaceous,71,65,Argentina,ARG,sauropod,10.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Lydekker (1893),australis,https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html
saltasaurus,herbivorous,Late Cretaceous,70,65,Argentina,ARG,sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Bonaparte and Powell (1980),loricatus,https://www.nhm.ac.uk/discover/dino-directory/saltasaurus.html
abelisaurus,carnivorous,Late Cretaceous,74,70,Argentina,ARG,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html
gasparinisaura,herbivorous,Late Cretaceous,86,71,Argentina,ARG,euornithopod,0.8,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Coria and Salgado (1996),cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html
aucasaurus,carnivorous,Late Cretaceous,84,71,Argentina,ARG,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,Coria Chiappe and Dingus (2002),garridoi,https://www.nhm.ac.uk/discover/dino-directory/aucasaurus.html
alvarezsaurus,carnivorous,Late Cretaceous,89,85,Argentina,ARG,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html
unenlagia,carnivorous,Late Cretaceous,94,86,Argentina,ARG,small theropod,2.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Novas and Puerta (1997),comahuensis,https://www.nhm.ac.uk/discover/dino-directory/unenlagia.html
buitreraptor,carnivorous,Late Cretaceous,99,90,Argentina,ARG,small theropod,1.3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae Unenlagiinae,Makovicky Apesteguía &amp; Agnolin (2005),gonzalezorum,https://www.nhm.ac.uk/discover/dino-directory/buitreraptor.html
giganotosaurus,carnivorous,Early Cretaceous,112,90,Argentina,ARG,large theropod,12.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Coria and Salgado (1995),carolinii,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html
mapusaurus,carnivorous,Late Cretaceous,99,94,Argentina,ARG,large theropod,13.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae Charcharodontosauridae Giganotosaurinae,Coria and Currie (2006),roseae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html
chubutisaurus,herbivorous,Early Cretaceous,112,99,Argentina,ARG,sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Corro (1974),insignis,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html
ligabuesaurus,herbivorous,Early Cretaceous,121,99,Argentina,ARG,sauropod,24.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Bonaparte González Riga and Apesteguía (2006),leanzai,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html
amargasaurus,herbivorous,Early Cretaceous,132,127,Argentina,ARG,sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Salgado and Bonaparte (1991),cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html
piatnitzkysaurus,carnivorous,Late Jurassic,164,159,Argentina,ARG,large theropod,4.2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Bonaparte (1979),floresi,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html
patagosaurus,herbivorous,Mid Jurassic,164,159,Argentina,ARG,sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Bonaparte (1979),fariasi,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html
amygdalodon,herbivorous,Mid Jurassic,177,169,Argentina,ARG,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Cabrera (1947),patagonicus,https://www.nhm.ac.uk/discover/dino-directory/amygdalodon.html
mussaurus,herbivorous,Late Triassic,221,210,Argentina,ARG,sauropod,3.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte and Vince (1979),patagonicus,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html
coloradisaurus,omnivorous,Late Triassic,221,210,Argentina,ARG,sauropod,4.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte (1978),brevis,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html
riojasaurus,herbivorous/omnivorous,Late Triassic,221,210,Argentina,ARG,sauropod,5.2,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Bonaparte (1969),incertus,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html
eoraptor,carnivorous,Late Triassic,228,,Argentina,ARG,small theropod,1.0,Dinosauria Saurischia Theropoda,Sereno Forster Rogers and Monetta (1993),lunensis,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html
herrerasaurus,carnivorous,Late Triassic,228,,Argentina,ARG,small theropod,3.0,Dinosauria Saurischia Theropoda Herrerasauridae,Reig (1963),ischigualastensis,https://www.nhm.ac.uk/discover/dino-directory/herrerasaurus.html
carnotaurus,carnivorous,Late Cretaceous,70,,Argentina,ARG,large theropod,7.6,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Bonaparte (1985),sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html
brachytrachelopan,herbivorous,Mid Jurassic,150,,Argentina,ARG,sauropod,10.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Rauhut Remes Fechner Cladera and Puerta (2005),mesai,https://www.nhm.ac.uk/discover/dino-directory/brachytrachelopan.html
argentinosaurus,herbivorous,Late Cretaceous,90,,Argentina,ARG,sauropod,35.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Bonaparte and Coria (1993),huinculensis,https://www.nhm.ac.uk/discover/dino-directory/argentinosaurus.html
atlascopcosaurus,herbivorous,Early Cretaceous,121,97,Australia,AUS,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),loadsi,https://www.nhm.ac.uk/discover/dino-directory/atlascopcosaurus.html
austrosaurus,herbivorous,Early Cretaceous,112,99,Australia,AUS,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Longman (1933),mckillopi,https://www.nhm.ac.uk/discover/dino-directory/austrosaurus.html
muttaburrasaurus,herbivorous,Early Cretaceous,110,100,Australia,AUS,euornithopod,7.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Bartholomai and Molnar (1981),langdoni,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html
leaellynasaura,herbivorous,Early Cretaceous,115,110,Australia,AUS,euornithopod,2.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Rich and Rich (1989),amicagraphica,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html
minmi,herbivorous,Early Cretaceous,121,112,Australia,AUS,armoured dinosaur,3.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Molnar (1980),paravertebra,https://www.nhm.ac.uk/discover/dino-directory/minmi.html
rhoetosaurus,herbivorous,Mid Jurassic,177,169,Australia,AUS,sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda,Longman (1926),brownei,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html
irritator,carnivorous,Early Cretaceous,112,99,Brazil,BRA,large theropod,6.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Martill Cruickshank Frey Small and Clarke (1996),challengeri,https://www.nhm.ac.uk/discover/dino-directory/irritator.html
guaibasaurus,herbivorous,Late Triassic,221,210,Brazil,BRA,small theropod,1.8,Dinosauria Saurischia Theropoda,Bonaparte Ferigolo and Ribeiro (1999),candelariensis,https://www.nhm.ac.uk/discover/dino-directory/guaibasaurus.html
staurikosaurus,carnivorous,Late Triassic,227,221,Brazil,BRA,large theropod,2.0,Dinosauria Saurischia Theropoda Herrerasauridae,Colbert (1970),pricei,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html
maxakalisaurus,herbivorous,Late Cretaceous,80,,Brazil,BRA,sauropod,13.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae Saltasaurinae,Kellner et al. (2006),topai,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html
edmontosaurus,herbivorous,Late Cretaceous,76,65,Canada,CAN,euornithopod,13.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1917),regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html
chirostenotes,omnivorous,Late Jurassic,79,67,Canada,CAN,small theropod,1.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Gilmore (1924),pergracilis,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html
arrhinoceratops,herbivorous,Late Cretaceous,72,67,Canada,CAN,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Parks (1925),brachyops,https://www.nhm.ac.uk/discover/dino-directory/arrhinoceratops.html
dromiceiomimus,omnivorous,Late Cretaceous,74,70,Canada,CAN,large theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Parks (1926),brevitertius,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html
anchiceratops,herbivorous,Late Cretaceous,74,70,Canada,CAN,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Brown (1914),ornatus,https://www.nhm.ac.uk/discover/dino-directory/anchiceratops.html
parksosaurus,herbivorous,Late Cretaceous,76,74,Canada,CAN,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Sternberg (1937),warrenae,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html
edmontonia,herbivorous,Late Cretaceous,76,74,Canada,CAN,armoured dinosaur,4.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Sternberg (1928),longiceps,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html
struthiomimus,omnivorous,Late Cretaceous,76,74,Canada,CAN,small theropod,4.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osborn (1917),altus,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html
chasmosaurus,herbivorous,Late Cretaceous,76,74,Canada,CAN,ceratopsian,5.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,belli,,https://www.nhm.ac.uk/discover/dino-directory/chasmosaurus.html
centrosaurus,herbivorous,Late Cretaceous,76,74,Canada,CAN,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,apertus,,https://www.nhm.ac.uk/discover/dino-directory/centrosaurus.html
pachyrhinosaurus,herbivorous,Late Cretaceous,76,74,Canada,CAN,ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sternberg (1950),canadensis,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html
albertosaurus,carnivorous,Late Cretaceous,76,74,Canada,CAN,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html
daspletosaurus,carnivorous,Late Cretaceous,76,74,Canada,CAN,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Russell (1970),torosus,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html
lambeosaurus,herbivorous,Late Cretaceous,76,74,Canada,CAN,euornithopod,9.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1923),lambei,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html
sonidosaurus,herbivorous,Late Cretaceous,89,65,China,CHN,sauropod,9.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Xu Zhang Tan Zhao and Tan (2006),saihangaobiensis,https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html
gilmoreosaurus,herbivorous,Late Cretaceous,76,70,China,CHN,euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html
micropachycephalosaurus,herbivorous,Late Cretaceous,84,71,China,CHN,ceratopsian,0.6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,Dong (1978),hongtuyanensis,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html
nanshiungosaurus,omnivorous,Late Cretaceous,84,71,China,CHN,large theropod,4.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Dong (1979),brevispinus,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html
bactrosaurus,herbivorous,Late Cretaceous,84,71,China,CHN,euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Gilmore (1933),johnsoni,https://www.nhm.ac.uk/discover/dino-directory/bactrosaurus.html
tsintaosaurus,herbivorous,Late Cretaceous,84,71,China,CHN,euornithopod,12.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Young (1958),spinorhinus,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html
shantungosaurus,herbivorous,Late Cretaceous,78,74,China,CHN,euornithopod,15.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Hu (1973),giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html
archaeoceratops,herbivorous,Early Cretaceous,121,99,China,CHN,ceratopsian,1.3,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Dong and Azuma (1987),oshimai,https://www.nhm.ac.uk/discover/dino-directory/archaeoceratops.html
gobisaurus,herbivorous,Early Cretaceous,121,99,China,CHN,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Vickaryous Russell Currie and Zhao (2001),domoculus,https://www.nhm.ac.uk/discover/dino-directory/gobisaurus.html
probactrosaurus,herbivorous,Early Cretaceous,121,99,China,CHN,euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Rozhdestvensky (1966),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html
sinosauropteryx,carnivorous,Early Cretaceous,122,120,China,CHN,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Ji and Ji (1996),prima,https://www.nhm.ac.uk/discover/dino-directory/sinosauropteryx.html
protarchaeopteryx,carnivorous,Early Cretaceous,122,120,China,CHN,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,Ji and Ji (1997),robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html
sinornithosaurus,carnivorous,Early Cretaceous,122,120,China,CHN,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Wang and Wu (1999),millenii,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html
confuciusornis,carnivorous,Early Cretaceous,127,121,China,CHN,small theropod,0.3,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae,Hou Zhou Gu and Zhang (1995),sanctus,https://www.nhm.ac.uk/discover/dino-directory/confuciusornis.html
sinovenator,carnivorous,Early Cretaceous,127,121,China,CHN,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Xu Norell Wang Makovicky and Wu (2002),changii,https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html
beipiaosaurus,omnivorous,Early Cretaceous,127,121,China,CHN,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,Xu Tang and Wang (1999),inexpectus,https://www.nhm.ac.uk/discover/dino-directory/beipiaosaurus.html
microraptor,carnivorous,Early Cretaceous,125,122,China,CHN,small theropod,0.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Xu Zhou and Wang (2000),zhaoianus,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html
